Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,MtCO2e,15.8,16.1,16.1,16.1,15.5,15,17.3,20,21.9,19.3,21.6,20.1,25.7,28.4,29,28.5,30.2,33.8,35,26.5,28.6,26.2,23.5,23.7,21.4,23,25.7
Australia,MtCO2e,6.5,6.5,6.9,7.5,7.8,8.6,9.2,9.1,9.5,9.9,10.2,10.6,8.8,8.8,10,11,11.6,11.9,12.2,11.2,12.4,11.8,12.8,12.9,14,14,14.4
Argentina,MtCO2e,2.2,1.5,1.5,1.2,2.1,3.3,3.9,4.4,4.3,4.4,4.4,4.2,3.8,3.8,3.8,4.4,4,4.6,4.8,4.7,5.7,6.5,7.6,8.4,7.8,5.7,5.1
Canada,MtCO2e,5.6,5.5,5.8,5.2,5.6,5.8,6.1,5.9,6.7,6.4,6.5,6.9,5.6,3.8,4.6,5.4,4.8,4.3,4.3,4.4,5.6,4.7,4.3,3.9,3.7,3.3,3.2
Austria,MtCO2e,1,1,1.1,1.1,1.3,1.4,1.5,1.6,1.7,1.6,1.8,1.7,1.6,1.5,1.8,2,2.1,2.2,2.2,1.9,2.1,2.2,2.1,2,2,2.2,2.4
Algeria,MtCO2e,2.5,2.2,2.2,2,2.1,2.2,2,1.9,1.8,1.7,2,2,2.2,1.9,2.1,2.4,2.3,2.2,2.3,2.3,2.4,2.2,2.4,2.6,2.1,2.3,2.2
Angola,MtCO2e,1,0.9,0.8,0.9,1.3,1.2,1,1.1,0.7,1.2,1.4,1.5,1.3,0.8,1.3,0.9,0.8,1.3,1.3,1.2,1.2,1.2,1.8,1.3,1.9,2,1.6
Bahrain,MtCO2e,1.6,1.4,1.3,1.3,1.3,1.5,1.4,1.1,1.4,1.4,1.4,1.4,1.5,1.8,1.8,1.9,2.1,2.1,2.3,2.3,2.2,2.1,2.1,1.6,1.5,1.7,1.6
Belarus,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,0.4
Albania,MtCO2e,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
Andorra,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,MtCO2e,0.4,0.3,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.5,0.7,0.8,0.9,0.9,1,1,0.9,1.1,1,1.1,1.4,1.3,1.3,1.3,1.4,1.5
Azerbaijan,MtCO2e,1,0.8,0.5,0.6,0.5,0.3,0.6,0.6,0.5,0.4,0.3,0.6,0.3,0.6,0.6,1.1,1.2,1.4,1.5,1.1,1.4,1.5,1.4,1.5,1.3,1,0.7
Cambodia,MtCO2e,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3
Armenia,MtCO2e,0.6,0.7,0.5,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Bahamas,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,MtCO2e,5.6,7.3,11.3,9.9,10.9,11.2,12.4,10.1,10.6,10.8,13.8,15.6,17.4,17,22.7,26.4,30.7,34,33.3,35.9,43.5,47,47.2,44.7,44.7,53.1,57.1
Denmark,MtCO2e,4.8,4.3,4.6,5.9,6.6,6.9,6.7,6.4,6.5,6.4,6.4,5.8,4.8,5,4.8,4.9,5.8,6,5.5,3.9,4.6,4.7,4.1,4.5,5,5,4.9
Cuba,MtCO2e,1.1,0.9,0.6,0.6,0.5,0.5,0.8,1,1,0.8,0.8,0.7,0.8,0.6,0.7,0.6,0.7,0.6,0.6,2,2.8,2.4,2.7,2.5,2.5,2.4,2.3
Cyprus,MtCO2e,0.9,1.1,1,0.9,0.9,1,1.1,1.1,1.1,1.3,1.4,1.6,1.3,1.4,1.1,1.8,1.8,1.8,1.7,1.5,1.4,1.5,1.4,1.4,1.4,1.5,1.7
Czech Republic,MtCO2e,0.7,0.5,0.5,0.4,0.5,0.6,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.9,0.9,1,1,1.1,1,0.9,0.9,0.9,0.8,0.9,0.9,0.9
