Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
China,MtCO2e,84.51,101.3,122.4,142.8,164.4,184.6,192.9,202.9,211.4,228.3,244.4,270.8,296.6,345.2,380,411.6,470.1,515,525.9,583.6,639.6,708.6,714.8,748.3,778.6,733.7,756.4
India,MtCO2e,22.35,24.5,25.16,26.6,28.54,31.46,34.6,37.98,40.45,45.13,45.97,47.66,51.5,54.47,56.95,60.84,64.23,68.51,73.08,85.05,91.37,96.49,101.4,104.3,108,111.8,110.6
Indonesia,MtCO2e,7.78,9.16,9.86,10.87,12.65,13.44,14.41,16.17,13.21,14.23,16.63,18.7,18.35,18.01,19.28,18.77,19.3,19.82,20.77,19.65,19.05,20.7,22.68,24.55,25.12,26.49,27.88
Japan,MtCO2e,38.7,40.35,41.67,41.22,42.3,42.14,42.56,39.93,35.36,35.01,35.09,34.37,32.42,31.94,31.28,32.28,31.99,30.66,28.55,25.31,24.32,24.98,25.62,26.81,26.56,25.94,25.97
South Korea,MtCO2e,17.44,18.21,20.29,23.73,25.79,27,27.2,28.16,21.98,22.78,23.79,24.66,26.04,26.83,25.11,22.41,22.23,24.09,24.35,23.3,23.34,23.56,23.49,23.09,23.32,24.46,25.57
Egypt,MtCO2e,6.77,7.86,8.1,7.59,7.62,8.32,8.78,9.21,9.79,10.83,11.17,11.75,12.72,11.89,12.69,14.14,15.57,17.1,16.72,19.51,18.48,17.9,22.61,20.13,19.79,20.5,20.9
Brazil,MtCO2e,11.06,11.78,9.77,10.16,10.09,11.53,13.88,15.27,16.18,16.44,16.05,15.23,14.39,13.1,13.27,14.35,15.44,17.2,18.88,19.03,21.29,23.08,24.96,25.2,25.66,23.51,20.53
Iran,MtCO2e,5.42,6.21,6.25,6.53,6.48,6.55,7.32,7.62,8.37,8.6,9.23,10.09,10.62,11.08,11.46,11.37,12.46,14.84,15.89,17.98,21.87,23.35,24.43,23.92,23.05,20.25,19.01
Germany,MtCO2e,15.3,13.74,14.44,14.53,15.34,15.56,14.81,15.27,15.54,15.77,15.25,13.5,12.82,13.51,14.07,13.05,13.34,14.45,13.58,12.56,12.43,13.39,13.29,12.5,12.9,12.63,12.66
Algeria,MtCO2e,2.99,2.97,3,2.99,2.82,3.17,3.01,3.27,3.45,3.44,3.79,3.77,4.06,4.03,4.9,5.66,6.54,7,7.58,8.22,8.25,8.19,7.7,7.3,8.36,9.16,9.16
Bangladesh,MtCO2e,0.14,0.11,0.11,0.11,0.11,0.11,0.26,0.41,0.5,0.84,1.44,2.01,2,1.99,1.98,2.01,1.99,1.96,3.82,4.58,5.26,5.56,5.75,6.42,6.49,6.87,6.87
Canada,MtCO2e,5.76,4.72,4.76,4.84,5.71,6.46,6.12,6.59,6.76,7.05,7.17,6.95,7.14,7.21,7.51,7.6,7.74,7.75,6.98,5.39,6.04,6.06,6.56,5.98,5.95,6.26,6.2
Colombia,MtCO2e,2.74,2.72,2.9,3.32,3.84,3.74,3.42,3.13,3.27,3.15,3.2,2.43,2.53,3.01,3.42,4.32,4.31,4.71,4.4,3.85,3.93,4.65,4.91,5.05,5.56,5.91,5.91
Iraq,MtCO2e,4.17,2.07,0.82,0.82,0.81,0.85,0.64,0.67,0.79,1.95,2.32,2.27,2.54,0.69,0.89,1.04,1.24,1.63,2.31,2.52,2.87,3.54,3.48,4.18,4.54,5.04,5.04
Argentina,MtCO2e,1.63,1.53,2.28,2.55,2.83,2.46,2.3,3.09,3.19,3.23,2.75,2.46,1.72,2.27,2.69,3.23,3.77,3.98,3.92,3.73,4.12,4.55,4.18,4.66,4.5,4.34,4.34
Greece,MtCO2e,5.76,5.72,5.86,5.88,5.92,6.36,6.37,6.41,6.38,6.37,6.54,6.57,6.31,6.37,6.36,6.79,6.6,6.41,6.05,4.58,4.21,2.43,3.1,3.64,3.82,3.47,3.77
Kazakhstan,MtCO2e,,,2.54,1.56,0.8,0.7,0.44,0.26,0.25,0.33,0.47,0.6,0.62,0.78,0.9,0.93,1.47,1.9,1.75,1.5,2.46,2.72,2.72,3.02,3.19,3.4,3.38
Australia,MtCO2e,3.46,3.18,2.92,3,3.48,3.36,3.24,3.19,3.48,3.52,3.62,3.54,3.49,3.58,3.56,3.66,3.89,3.97,3.86,3.83,3.55,3.5,3.52,3.29,3.14,3.08,2.93
Ethiopia,MtCO2e,0.14,0.12,0.12,0.14,0.19,0.25,0.28,0.3,0.3,0.26,0.36,0.36,0.36,0.45,0.52,0.62,0.68,0.63,0.7,0.65,0.63,0.8,1.34,1.95,2.09,2.89,2.89
North Korea,MtCO2e,6.52,6.51,6.91,6.9,6.9,6.89,6.88,2.83,1.29,1.61,1.85,2.07,2.13,2.2,2.23,2.25,2.41,2.36,2.45,2.44,2.33,2.38,2.45,2.72,2.75,2.76,2.76
Ecuador,MtCO2e,1.02,1.04,1.02,0.95,0.97,1.18,1.36,1.3,1.17,1.03,1.26,1.3,1.32,1.35,1.49,1.57,1.74,1.83,2.22,2.11,2.09,2.24,2.35,2.61,2.6,2.45,2.45
Belgium,MtCO2e,2.82,2.88,3.09,3.08,3.18,3.25,3.01,3.16,3.17,3.11,3.27,2.96,2.99,2.93,2.84,2.93,3.11,3.09,3.03,2.79,2.58,2.76,2.64,2.54,2.64,2.35,2.44
Kenya,MtCO2e,0.62,0.58,0.62,0.58,0.59,0.64,0.74,0.61,0.58,0.58,0.46,0.53,0.59,0.66,0.71,0.84,0.85,0.98,1.09,1.28,1.43,1.71,1.77,1.97,2.16,2.33,2.33
Israel,MtCO2e,0.99,1.19,1.3,1.46,1.51,1.9,1.67,1.72,2.19,2.27,2.15,1.82,1.82,1.89,1.95,2.16,2.27,2.27,2.17,1.81,2.02,2.25,2.25,2.17,2.29,2.23,2.23
Lebanon,MtCO2e,0.11,0.09,0.12,0.19,0.15,0.47,0.78,0.85,1.33,1.33,1.63,1.69,1.68,2.3,2.61,2.75,2.01,2.27,2.33,2.56,2.59,2.58,2.4,2.54,2.4,2.23,2.23
Belarus,MtCO2e,,,0.91,0.86,0.63,0.57,0.65,0.83,0.92,0.89,0.87,0.82,0.98,1.17,1.29,1.46,1.56,1.62,1.81,1.87,1.96,1.96,2.18,2.37,2.65,2.26,2.19
Dominican Republic,MtCO2e,0.46,0.53,0.59,0.55,0.55,0.62,0.7,0.79,0.8,0.97,1.07,1.16,1.28,1.21,1.1,1.14,1.54,1.65,1.67,1.52,1.61,1.56,1.61,1.65,1.86,1.85,1.85
Ireland,MtCO2e,0.88,0.78,0.75,0.73,0.86,0.88,0.98,1.15,1.06,1.17,1.7,1.85,1.86,2.13,2.29,2.36,2.35,2.37,2.11,1.33,1.1,0.97,1.18,1.11,1.46,1.65,1.79
Austria,MtCO2e,2.03,2,2.1,2.03,2.1,1.63,1.63,1.76,1.6,1.61,1.71,1.72,1.74,1.75,1.79,1.8,1.95,2.13,2.13,1.8,1.62,1.67,1.67,1.66,1.64,1.7,1.73
Czech Republic,MtCO2e,,,2.47,2.19,2.21,2,2.12,2.08,2.07,1.96,1.94,1.63,1.4,1.49,1.63,1.63,1.75,2.04,2,1.57,1.47,1.67,1.52,1.33,1.48,1.56,1.7
Jordan,MtCO2e,0.76,0.56,1.29,1.43,1.62,1.41,1.4,1.29,1.04,1.05,1.02,1.2,1.32,1.28,1.39,1.41,1.4,1.54,1.57,1.39,1.41,1,1.41,1.46,1.57,1.61,1.61
Kuwait,MtCO2e,0.37,0.04,0.22,0.2,0.41,0.78,0.8,0.79,0.53,0.56,0.46,0.35,0.59,0.68,0.94,0.75,0.78,0.8,0.93,0.72,0.72,0.8,0.83,1.04,1.33,1.47,1.47
Bolivia,MtCO2e,0.25,0.27,0.27,0.3,0.34,0.4,0.42,0.47,0.53,0.54,0.48,0.44,0.44,0.5,0.55,0.61,0.69,0.72,0.8,0.91,0.95,1.04,1.06,1.22,1.38,1.45,1.45
Guatemala,MtCO2e,0.72,0.62,0.6,0.48,0.51,0.5,0.47,0.55,0.64,0.68,0.84,0.85,0.84,0.83,0.91,0.98,0.97,1,0.99,0.59,1.1,1.11,1.12,1.15,1.36,1.36,1.36
Azerbaijan,MtCO2e,,,0.38,0.3,0.24,0.1,0.12,0.18,0.11,0.1,0.12,0.31,0.47,0.54,0.73,0.74,0.78,0.82,0.77,0.62,0.62,0.69,0.95,1.11,1.39,1.26,1.26
Bulgaria,MtCO2e,2.1,1.24,1.08,1.13,1.41,1.95,1.92,1.54,1.1,1.08,1.19,1.2,1.19,1.25,1.42,1.59,1.52,1.94,1.86,0.98,0.81,0.79,0.98,0.89,0.91,1.1,1.2
Albania,MtCO2e,0.37,0.3,0.1,0.1,0.05,0.1,0.1,0.05,0.04,0.05,0.09,,,0.29,0.29,0.25,0.26,0.44,0.46,0.55,0.65,0.9,1.1,1.15,1.1,1.1,1.1
Denmark,MtCO2e,0.88,1.09,1.19,1.21,1.19,1.2,1.28,1.34,1.39,1.35,1.39,1.39,1.42,1.33,1.46,1.36,1.4,1.41,1.16,0.76,0.67,0.86,0.87,0.87,0.89,0.93,1.09
