Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
China,MtCO2e,1851.69,1980.48,2096.48,2321.78,2442.18,2763.18,2743.24,2806.8,2910.36,2827.39,3022.35,3187.58,3469.08,4074.18,4782.85,5478.82,6034.77,6590.65,6797.43,7316.5,8035.56,8962.64,9217.37,9627.1,9593.08,9524.59,9501.23
United States,MtCO2e,4516.6,4479.71,4551.75,4671.98,4744.81,4798.49,4907.27,5161.35,5209.73,5246.52,5394.57,5356.41,5231.05,5275.78,5406.31,5394.8,5300.02,5471.21,5181.07,4795.7,5028.64,5144.42,4880.96,5007.43,5036.6,4907.61,4791.5
India,MtCO2e,511.32,556.14,578.56,600.54,635.89,689.93,725.01,768.05,784.48,849.87,884.88,779.89,813.92,836.25,912.67,966.6,1080.39,1197.76,1280.13,1455.54,1544.41,1881.69,2022.81,2076.24,2243.32,2257.91,2307.61
Indonesia,MtCO2e,1070.98,1085.08,1094.35,1109.12,1120.94,1147.13,995.04,1705.9,1127.5,1069.86,1009.65,1273.84,1666.61,1408.21,1688.29,1485.83,2135.14,1692.77,1685.09,2001.81,1696.73,1875.03,1915.39,1898.44,2216.21,2242.38,1841.14
Russia,MtCO2e,2412.51,2389.05,2249.79,2066.2,1857.29,1809.26,1756.29,1606.62,1648.86,1649.39,1688.49,1561.26,1566.58,1656.1,1580.37,1608.94,1477.83,1456.5,1629.26,1391.12,1481.05,1537.87,1542.42,1459.34,1427.5,1362.31,1386.8
Japan,MtCO2e,999.5,1011.65,1025.17,1015.62,1066.2,1077.74,1089.06,1074.92,1029.25,1067.2,1083.48,1108.52,1149.06,1156.51,1147.41,1154.76,1031.63,1072.71,993.7,932.46,983.33,1188.39,1233.56,1257.41,1216.2,1183.04,1177.52
Brazil,MtCO2e,1077.73,1084.64,1088.16,1094.65,1102.19,1120.93,1141.46,1160.16,1169.86,1179.07,1191.05,1410.16,1407.74,1401.34,1417.66,1420.62,851.18,869.02,888.99,868.74,914.71,710.34,744.38,773.45,799.18,774.23,742.78
Germany,MtCO2e,902.35,879.38,839.8,834.04,822.86,820.14,849.85,817.94,810.16,780.46,777.13,826.81,812.41,815.72,799.98,781.02,798.15,766.76,774.39,718.14,756.33,706.34,719.57,737.77,697.54,703.78,705.7
Iran,MtCO2e,179.02,217.53,233.21,231.12,260.96,272.26,280.11,291.23,292.67,326.29,340.62,347.61,365.32,387.24,416.29,447.77,487.71,520.67,530.94,548.34,547.78,628.81,636.03,657.3,675.27,669.07,677.93
Canada,MtCO2e,499.53,492.38,505.33,502.48,518.55,530.02,525.77,530.2,607.06,568.88,567.76,745.81,798.9,822.39,789.27,801.55,709,727.5,713.36,655.25,716.66,596.73,619.26,665.3,639.59,665,616.09
South Korea,MtCO2e,214.77,239.54,261.72,292.16,318.72,349.83,374.43,395.99,331.21,366.51,421.22,427.29,418.67,421.36,441.64,436.84,438.53,453.09,464.75,477,525.84,557.76,559.39,558.09,546.42,566.86,575.17
Saudi Arabia,MtCO2e,166.38,186.6,199.39,206.19,218.78,222.44,234.06,214.91,230.41,234.48,244.32,248.61,266.89,278.07,294.2,309.86,329.1,347.76,382.67,399.68,440.19,456.93,488.77,499.32,536.57,561.29,556.1
Mexico,MtCO2e,286.34,304.53,308.41,319.47,344.87,325.14,344.99,368.2,392.2,379.51,403.51,402.29,408.32,426.62,433.68,451.93,462.99,475.98,490.7,475.26,482.28,490.67,490.45,479.59,467.48,477.34,480.44
South Africa,MtCO2e,249.26,243.97,240.48,248,253.62,265.71,274.46,289.23,297.18,278.99,285.19,321.42,332.43,354.14,381.39,379.21,380.54,398.06,429.74,407.47,413.41,399.51,418.67,427.88,441.91,417.62,420.18
United Kingdom,MtCO2e,543.96,557.57,540.22,527.77,522.63,511.56,531.96,509.64,512.31,509.62,517.47,531.83,517.5,530.27,529.57,527.9,529.68,517.58,502.38,453.14,469.83,431.79,454.62,440.29,402.12,387.26,364.85
Zambia,MtCO2e,339.4,339.48,339.47,339.17,338.74,338.75,312.57,285.38,290.75,263.15,298.47,286.08,326.94,341.98,351.98,408.25,348.57,324.95,338.64,296.69,329.63,303.48,317.95,326.94,306.67,329.21,345.64
Australia,MtCO2e,260.49,261.57,265.3,269.28,275.55,285.88,295.9,302.92,323.94,329.1,335.18,391.62,398.21,403.43,413.52,418.94,382.61,392,393.1,400.81,391.99,320.73,320.35,317.95,306.72,312.52,326.04
Turkey,MtCO2e,117.79,122.37,128.33,134.13,132.42,146.76,163.99,172.09,172.38,171.43,195.12,167.89,178.21,189.22,194.71,205.12,206.21,234.05,232.31,232.93,242.15,252.86,263.98,253.32,275.8,286.75,309.65
Nigeria,MtCO2e,251.59,259.28,270.08,268.15,264.23,265.26,270.86,267.26,260.32,258.31,259.8,230.32,231.35,233.92,233.81,243.68,262.38,260.24,261.62,244.34,258.87,278.6,274.57,293.56,298.31,293.7,297
Argentina,MtCO2e,175.94,181.08,183.08,184.31,192.03,193.95,200.59,203.92,208.78,211.39,209.77,218.99,216.97,225.76,249.78,248.19,275.35,275.41,289.39,284.96,277.56,284.34,296.03,283.97,286.27,289.58,292.09
Italy,MtCO2e,355.06,354.06,351.46,348.56,344.16,366.76,363.8,366.9,377.4,383.3,386,385.15,392.17,410.41,419.87,421.26,415.02,407.1,394.54,349.41,357.6,349.77,332.3,303.2,284.85,295.3,291.45
