Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
China,MtCO2e,588.43,598.58,603.32,590.48,610.47,669.6,712.51,644.66,667.14,687.29,675.77,664.55,671.44,660.52,679.29,687.14,689.25,680.71,692.8,700.73,711.25,709.96,711.82,714.78,716.93,727.46,730.6
India,MtCO2e,566.64,574.02,580.52,587.23,595.23,599.65,607.05,612.42,619.68,623.28,617.94,623.08,607.1,618.87,628.6,647.85,662.58,679.9,687.49,681.79,691.65,701.9,696,698.36,699.8,700.1,704.16
Brazil,MtCO2e,340.83,351.9,357.95,359.69,367.7,373.74,354.36,362.47,373.17,375.25,379.72,398.96,423.09,440.7,464.64,469.19,460.18,472.12,461.46,460.24,493.16,489.44,490.33,485.78,495.52,497.1,503.2
United States,MtCO2e,358.27,359.28,366.21,369.97,375.87,376.92,380.44,378.94,377.48,374.37,367.55,367.88,366.49,371.38,373.08,372.17,375.41,378.83,377.59,371.72,373.6,375.4,371.67,370.83,370.75,370.36,380.93
Indonesia,MtCO2e,133.06,132.4,139.74,137.23,138.25,144.2,147.5,142.8,145.58,143.73,143.06,141.69,144.7,143.96,147.88,148.38,150.03,154.71,158.76,165.98,169.19,172.42,177.8,173.69,179.35,182.5,190.22
Pakistan,MtCO2e,85.77,87.06,89.23,91.81,93.66,97.23,100.49,103.22,105.48,108.77,110.57,111.69,114.94,118.75,122.05,126.63,134.47,136.7,143.01,149.65,147.69,154.33,154.98,163.04,167.05,170.83,175.63
Argentina,MtCO2e,119.14,117.91,119.55,117.66,119.24,118.57,115.74,115.28,112.17,114.51,116.86,119.9,120.88,130.85,130.6,130.51,133.77,136.53,134.13,123.72,116.46,116.8,118.66,121.83,123.75,122.64,128.04
Australia,MtCO2e,182.84,181.13,177.69,175.21,176.7,173.94,156.99,155.51,162.5,194.07,211.05,242.15,221.05,140.23,189.05,140.07,181.28,166.99,136.59,143.41,117.87,227.56,228.01,140.26,162.86,153.46,119.64
Ethiopia,MtCO2e,57.36,57.49,58.86,52.25,52.76,52.95,54.82,56.5,61.87,61.18,57.6,60.98,70.85,67.38,68.76,72.34,75.99,85.25,88.17,92.45,96.59,94.76,98.55,101.23,104.64,106.57,109.54
Russia,MtCO2e,236.75,228.22,208.44,196.81,176.89,158.6,146.61,130.98,120.7,110.17,110.12,111.14,107.32,111.03,100.86,96.31,93.33,94.1,99.94,96.49,94.72,94.58,92.72,93.66,94.67,93.54,96.6
Mexico,MtCO2e,88.71,86.99,86.33,87.82,87.67,85.93,84.93,85.51,87.43,85.31,86.19,86.64,85.32,85.94,85.49,87.27,86.54,87.83,87.56,88.88,89.75,91.73,91.1,93.9,89.88,90.77,95.72
Bangladesh,MtCO2e,65.49,66.03,66.6,66.73,67.86,69.68,69.67,69.55,68.95,71.88,72.43,72.67,73.95,73.72,72.92,74.74,76.36,76.76,80.99,81.06,82.39,83.76,83.22,83.5,84.63,85.39,83.56
Nigeria,MtCO2e,39.85,41.53,42.06,43.14,44.37,45.2,45.95,47.98,50.83,51.62,52.32,54.76,54.84,56.18,55.9,60.65,60.49,59.32,59.17,56.54,61.36,65.12,67.89,69.23,70.52,71.43,81.69
Myanmar,MtCO2e,45.75,45.2,47.53,49.63,51.26,53,52.25,51.01,51.84,55.67,56.84,57.57,58.03,60.27,62.82,64.94,68.68,70.88,71.46,73.17,74.48,72.7,73.26,74.49,76.58,78.67,79.13
France,MtCO2e,86.72,85.75,81.78,81.22,81.73,82.27,83.46,82.57,82.33,82.42,83.65,83.67,81.39,79.69,79.42,77.84,77.5,79.24,78.23,76.2,76.28,74.2,74.6,75.65,75.78,76.53,74.68
Sudan,MtCO2e,41.89,43.19,46.83,49.85,52.64,53.65,54.25,56.08,59.2,60.75,64.29,61.16,66.95,66.95,66.73,69.71,65.61,70.25,69.58,70.7,66.92,67.89,70.07,69.97,69.77,70.44,71.88
Vietnam,MtCO2e,46.33,48.79,49.78,51.01,53.62,54.54,57.26,57.59,60.84,62.93,64.1,61.56,62.89,64.58,66.21,65.81,66.6,67.84,65.34,70.45,67.97,66.82,67.82,70.82,69.18,72.01,71.08
Chad,MtCO2e,15.35,15.58,15.77,15.93,16.09,16.45,17.09,17.57,17.54,18.58,20.37,18.93,21.19,21.34,20.89,21.38,20.8,21.82,21.76,20.45,22.27,23.25,23.49,22.63,21.97,62.3,67.1
