Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
China,MtCO2e,2088.9,2200.8,2295.7,2500.7,2599.5,2900.3,2872,2925.7,3020.7,2920.9,3099.8,3256,3511.7,4068.1,4741.8,5406.6,5960.4,6471.3,6667.2,7128.3,7791.6,8566,8814.5,9190.7,9125.2,9102.6,9056.8
United States,MtCO2e,4811.62,4775.37,4847.16,4965.45,5037.1,5089.82,5245.76,5509.29,5551.3,5569.98,5734.79,5707.67,5551.03,5616.33,5694.16,5709.97,5609.78,5694.74,5522.01,5129.95,5361.4,5139.91,4914.93,5053.11,5063.18,4936.18,4849.68
India,MtCO2e,539.11,581.58,603.54,623.98,657.39,708.71,740.78,780.23,794.18,854.78,889.08,900.37,930.77,949.91,1023.87,1074.11,1145.44,1258.64,1336.54,1499.86,1582.61,1666.6,1802.91,1853.33,2016.88,2027.48,2078.38
Russia,MtCO2e,2165.04,2141.38,1978.67,1799.9,1596.5,1548.2,1521.7,1414.8,1406.6,1443,1474.5,1474.5,1474.55,1503.53,1513.3,1508.5,1565.45,1563.74,1589.47,1475.34,1560.34,1636.75,1583.56,1541.98,1516.09,1495.19,1467.29
Japan,MtCO2e,1037.1,1047.6,1059.9,1050.7,1100,1111.9,1122.7,1111.3,1070.2,1108.5,1124.6,1115.4,1157.6,1165.7,1157.3,1163.8,1144.1,1186.9,1110,1052.3,1104,1158.8,1203.3,1226,1185.1,1152.6,1147.1
Germany,MtCO2e,940,918.58,878.41,872.46,860.37,857.43,887.98,855.71,847.56,817.73,814.82,833.92,820.26,823.15,806.73,788.79,801.43,768.83,777.28,722.11,760.34,732.95,746.19,765.28,724.58,731.28,732.98
Iran,MtCO2e,173.77,211.49,227.23,224.76,254.56,265.88,272.86,283.79,284.38,317.76,331.46,340.97,358.24,379.51,408.18,439.85,478.35,508.93,518.25,533.46,528.92,538.38,544.42,566.21,585.25,581.75,591.75
South Korea,MtCO2e,231.6,255.8,275.9,302.9,327.5,357.3,381.8,402.4,343.7,378.1,431.9,446,436,437.7,459.8,457.7,464.9,477.4,488.9,502.1,551,573.7,575.3,574.5,562.7,582.1,589.2
Canada,MtCO2e,423.7,417.69,430.6,427.47,442.77,453.49,467.17,483.09,490.5,499.08,520.58,512.43,518.38,538.18,529.76,543.45,534.47,565.25,545.34,517.4,532.29,540.41,537.64,545.89,547.87,545.47,544.37
Saudi Arabia,MtCO2e,160.66,181.2,191.88,198.8,211.55,214.74,226.15,207.51,222.83,226.65,235.64,238.74,255.74,266.62,282.48,298.43,316.81,333.58,364.2,379.5,419.3,434.5,463.4,471.2,506.72,531.72,527.32
Indonesia,MtCO2e,143.17,155.9,164.46,178.32,188.26,213.66,223.96,245.7,252.46,271.54,264.2,283.48,288.09,317.72,324.32,327.02,346.37,361.35,356.37,371.75,367.85,401.27,426.86,429.99,467.91,467.11,467.31
Mexico,MtCO2e,257,275.1,278.1,288.54,312.09,295.56,313.73,336.29,359.73,346.57,369.98,368.8,374.27,392.44,398.99,415.64,431.93,443.37,458.74,443.91,451.93,463.13,462.34,452.39,439.95,448.25,451.35
Brazil,MtCO2e,187.24,193.22,198.65,204.86,212.47,229.77,249.04,266,274.21,283.8,296.27,303.76,302.08,295.45,312.58,315.24,317.49,333.16,351.89,330.79,375.03,393.03,425.08,454.01,478.65,454.45,419.75
South Africa,MtCO2e,243.7,238.8,235.4,242.8,248.2,259.8,269.6,284.11,292.17,274.57,280.73,316.73,327.23,348.63,375.77,372.57,374,391.4,423.3,400.4,406.9,393.2,411.8,421.5,434.71,410.31,414.51
Australia,MtCO2e,260.04,261.49,265.48,269.48,275.27,285.63,296.35,303.59,324.24,329.51,335.25,341.44,349.34,353.24,367.18,372.13,377.63,387.83,390.23,396.38,389.44,387.69,386.99,383.05,373.85,379.65,392.95
United Kingdom,MtCO2e,549.5,564.31,547.4,534.88,529.1,518.11,538.23,515.72,518.27,515.78,523.63,538.64,524.26,536.24,536.35,534.71,535.94,523.01,509.01,461.31,478.07,440.35,463.21,449.12,410.47,395.37,373.17
Turkey,MtCO2e,128.83,131.83,136.63,142.55,140.51,154.11,170.71,178.46,178.46,178.32,201.32,182.81,192.71,203.3,207.3,215.91,240.21,266.11,262.41,261.31,267.91,287.2,298.5,285.2,307.2,319,338.7
Italy,MtCO2e,389.4,388.3,386.1,382.9,378.3,401.1,398.2,401.3,411.9,417.6,420.5,420.1,427.1,445.4,455,456.6,449.3,441.4,428.9,383.7,392,384.2,366.6,337.5,319.1,329.8,325.5
