Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Indonesia,MtCO2e,920.03,920.03,920.03,920.03,920.03,920.03,756.57,1444.03,861.73,783.99,728.92,971.56,1360.17,1072.48,1344.69,1140.15,1769.57,1311.49,1307.94,1610.52,1309.83,1453.16,1465.85,1444,1723.18,1748.98,1346.05
Zambia,MtCO2e,336.63,336.63,336.63,336.63,336.63,336.63,310.83,283.12,288.61,261.43,296.61,284.3,325.05,339.94,349.83,405.98,346.36,323.44,336.93,294.75,327.6,301.01,314.65,323.34,302.62,325.09,341.23
Brazil,MtCO2e,879.63,879.63,879.63,879.63,879.63,879.63,878.85,878.89,879.37,878.83,878.83,1091.17,1091.17,1092.79,1091.91,1091.13,518.24,518.56,518.22,519.02,518.39,294.34,294.34,294.34,294.96,296.26,302.6
Tanzania,MtCO2e,224.89,224.89,224.89,224.89,224.89,224.89,230.35,219.49,229.68,225.89,208.91,230.98,222.24,235.51,237.21,244.15,222.9,229.77,231.96,224.45,222.26,212.26,204.16,200.56,200.26,204.83,200.01
Nigeria,MtCO2e,183.7,183.7,183.7,183.7,183.7,183.7,183.7,183.7,183.7,183.7,183.7,145.2,145.2,145.2,145.2,145.2,170.13,170.13,170.13,170.13,170.13,183.33,183.33,183.33,183.33,183.33,183.33
Democratic Republic of the Congo,MtCO2e,146.63,146.63,146.63,146.63,146.63,146.63,147.13,146.93,147.09,147.22,146.82,145.82,145.86,146.1,146.14,146.67,147.31,146.6,146.89,146.68,146.78,147.16,146.16,147.48,145.98,145.86,146.27
Paraguay,MtCO2e,70.66,70.66,70.66,70.66,70.66,70.66,70.66,70.66,70.66,70.66,70.66,72.65,72.65,72.65,72.65,72.65,127.87,127.87,127.87,127.87,127.87,141.64,141.64,141.64,141.64,141.64,141.64
India,MtCO2e,-50.14,-50.14,-50.14,-50.14,-50.14,-50.14,-50.17,-50.16,-50.15,-50.14,-50.16,-168.24,-168.25,-168.23,-168.25,-168.26,-129.38,-129.39,-129.39,-129.37,-129.37,118.5,118.5,118.51,118.54,118.53,118.73
Cameroon,MtCO2e,115.6,115.6,115.6,115.6,115.6,115.6,112.09,112.08,112.06,112.12,112.37,113.21,112.31,116.43,114.76,118.71,112.51,114.99,116.21,114.62,112.81,113.12,112.48,118.03,114.03,116.66,116.15
South Sudan,MtCO2e,145.32,145.32,145.32,145.32,145.32,145.32,118.42,120.5,126.57,121.77,124.04,214.29,261.67,198.93,244.44,219.2,141.13,137.58,144.86,221.24,154.75,196.24,189.9,125.25,62.77,107.92,111.2
Myanmar,MtCO2e,103.11,103.11,103.11,103.11,103.11,103.11,101.53,101.18,101.86,101.88,101.89,78,77.44,78.57,80.57,77.83,79.7,79.24,77.62,79.16,80.58,94.27,94.65,96.04,95.68,97.34,96.25
Argentina,MtCO2e,70.2,70.2,70.2,70.2,70.2,70.2,67.09,66.53,67.9,67.22,66.48,86.48,92.11,90.67,98.9,94.2,111.52,104.29,107.18,110.69,98.06,97.06,104.35,96.34,95.28,93.15,95.45
Bolivia,MtCO2e,77.37,77.37,77.37,77.37,77.37,77.37,77.37,77.37,77.37,77.37,77.37,77,77,77,77,77,87.27,87.27,87.27,87.27,87.27,83.74,83.74,83.74,83.74,83.74,83.74
Venezuela,MtCO2e,118.07,118.07,118.07,118.07,118.07,118.07,111.38,111.07,112.16,111.21,110.66,134,114.1,128.81,114.88,118.01,8.49,11.81,4.85,1.43,20.31,63.09,63.47,81.3,69.82,75.12,83.63
Angola,MtCO2e,86.78,86.78,86.78,86.78,86.78,86.78,82.22,79.4,84.02,79.46,82.64,70.83,86.96,92.61,99.47,98.41,79.56,95.81,79.17,81.01,82.86,106.44,80.69,91.1,77.27,92.27,73.81
Peru,MtCO2e,43.88,43.88,43.88,43.88,43.88,43.88,43.46,43.94,43.95,43.6,43.53,43.42,43.39,43.51,43.44,45.67,69.39,71.1,69.39,69.1,70.29,70.65,70.8,71.06,70.69,70.97,70.82
Iran,MtCO2e,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-3.45,-3.45,-3.45,-3.45,-3.45,-3.1,-3.1,-3.1,-3.1,-3.1,67.08,67.08,67.08,67.08,67.08,67.08
Canada,MtCO2e,70.07,70.07,70.07,70.07,70.07,70.07,52.48,40.63,109.8,62.65,39.91,226.43,273.47,276.99,252,250.51,166.78,154.41,161.04,132.46,178.33,50.37,75.06,113.53,85.98,113.27,65.42
Sudan,MtCO2e,56.23,56.23,56.23,56.23,56.23,56.23,45.82,46.62,48.97,47.12,47.99,82.91,101.25,76.97,94.58,84.81,54.6,53.23,56.05,85.6,59.87,75.93,46.2,46.2,46.2,46.2,46.2
